2025-10-22 20:28:12,134 | INFO | Logging initialized. Log file: outputs/experiments\unlearn_20251022_202812\run_unlearning_20251022_202812.log
2025-10-22 20:28:12,135 | INFO | [run_unlearning] 输出目录：outputs/experiments\unlearn_20251022_202812
2025-10-22 20:28:12,230 | INFO | [handoff] 复用 outputs/experiments/20251021_200357__fed_exp 的 checkpoint：outputs/experiments/20251021_200357__fed_exp\global_model_final.pth
2025-10-22 20:28:12,357 | INFO | [ckpt] 保存 model_before 至 outputs/experiments\unlearn_20251022_202812\checkpoints\model_before.pth
2025-10-22 20:28:24,090 | INFO | [eval] BEFORE  val/loss=5.1460, val/acc=0.1000
2025-10-22 20:28:24,976 | WARNING | [saliency] 未找到 saliency 模块，跳过热力图生成：cannot import name 'save_heatmap_image' from 'src.utils.viz' (F:\Un_Inversion\pythonProject\src\utils\viz.py)
2025-10-22 20:28:24,977 | INFO | [unlearning] method=fucp, target_classes=[5]
2025-10-22 20:28:39,550 | INFO | Logging initialized. Log file: outputs/experiments\unlearn_20251022_202812\unlearning_fucp\approx_unlearner_fucp_20251022_202839.log
2025-10-22 20:28:39,552 | INFO | Approximate unlearning starting: method=fucp, forgotten_classes=[5]
2025-10-22 20:28:39,552 | INFO | Starting FUCP (pruning-based) unlearning
2025-10-22 20:28:47,953 | WARNING | No forgotten-class samples during importance estimation; fallback to weight magnitude proxy.
2025-10-22 20:28:48,001 | INFO | FUCP: total_params=274063, prune_k=54812, threshold=8.991763e-02
2025-10-22 20:28:48,061 | INFO | FUCP: fine-tuning for 300 steps on public data (lr=0.001)
2025-10-22 20:29:06,500 | INFO | FUCP fine-tune done. steps=300, avg_loss=2.290902
2025-10-22 20:29:06,516 | INFO | Done approximate unlearning (fucp). Model saved at outputs/experiments\unlearn_20251022_202812\unlearning_fucp\model_after_fucp.pth
2025-10-22 20:29:06,528 | INFO | [ckpt] 保存 model_after 至 outputs/experiments\unlearn_20251022_202812\checkpoints\model_after.pth
2025-10-22 20:29:14,649 | INFO | [eval] AFTER   val/loss=2.3058, val/acc=0.1000
2025-10-22 20:29:14,650 | WARNING | [saliency] 未找到 saliency 模块，跳过热力图生成：cannot import name 'save_heatmap_image' from 'src.utils.viz' (F:\Un_Inversion\pythonProject\src\utils\viz.py)
